i,b,c
1,-2.146127,1.949903
2,4.716218,0.652963
3,-1.511237,1.307238
4,3.028138,3.801652
5,-3.207105,1.985066
6,4.122191,4.483590
7,4.970450,2.469030
8,-4.760566,4.590414
9,1.898843,1.762846
10,-4.176517,4.572548
11,-0.823976,2.332737
12,2.340453,1.465213
13,4.686217,2.915390
14,-0.557778,1.120512
15,-0.462675,1.262482
16,1.611846,1.947358
17,-2.054845,2.158821
18,4.465629,3.042798
19,4.536673,4.982300
20,-0.341662,1.506256
21,-2.506063,4.329042
22,4.707226,1.787030
23,2.219339,1.990144
24,-0.986000,4.328457
25,4.886886,4.295419
26,3.592051,2.366253
27,3.778749,0.198214
28,0.890458,2.334182
29,3.160370,3.602323
30,-4.534132,4.587392
31,3.499647,1.483539
32,-3.751166,0.784240
33,-4.976660,0.665700
34,2.610083,4.668924
35,-2.691710,3.868240
36,3.017951,4.029827
37,-3.455954,3.094746
38,-2.379972,1.234035
39,-2.247519,0.965495
40,-3.382678,2.562401
